plan_key,operation,database_fragment_id,source_key,date,sequence,planning_order,page_id,marquee_action,source_html_sha256,target_text_md5,expected_version,expected_text_md5
source:fragments/1829/07/08-img2901-right,CREATE_FRAGMENT,,fragments/1829/07/08-img2901-right,1829-07-08,6,6,753,ENSURE_MARQUEE_EXISTS,a49f1b54f35cd9c50b1eb65187538db6807d84b04fed1eb998c353ae1517f6b9,6f3b76ae685c7cf5a5b1057eaa19839a,,
source:fragments/1829/07/09-img2902-right,CREATE_FRAGMENT,,fragments/1829/07/09-img2902-right,1829-07-09,3,3,754,ENSURE_MARQUEE_EXISTS,851b456770608b43bcf423aa1c4c239afdb025461155dd80538adcb8c952f801,22ce0831701189e15332be3b1911c581,,
source:fragments/1829/07/11-img2903-right,CREATE_FRAGMENT,,fragments/1829/07/11-img2903-right,1829-07-11,3,3,755,ENSURE_MARQUEE_EXISTS,afdd962fa60717090143e31c6225859041fc63bd4a9315116e4c344de9280275,3b39d38fd8885046c0270761c8c70e7d,,
source:fragments/1829/07/15-img2905-right,CREATE_FRAGMENT,,fragments/1829/07/15-img2905-right,1829-07-15,2,2,757,ENSURE_MARQUEE_EXISTS,37058c641018e7a664435755e066cb15e513fa3a4675888c6db3d3ce2bf2e751,936a944c698f62d67facf45917a9b74b,,
source:fragments/1829/07/16-img2906-right,CREATE_FRAGMENT,,fragments/1829/07/16-img2906-right,1829-07-16,2,2,758,ENSURE_MARQUEE_EXISTS,ec4d733ec6bedd98c00f423371059405246d5deebac18c8aaf6710d0522d58de,8d91a18758fca17ae8243de430b2fe40,,
source:fragments/1829/07/23-img2908-right,CREATE_FRAGMENT,,fragments/1829/07/23-img2908-right,1829-07-23,2,2,760,ENSURE_MARQUEE_EXISTS,862a179cd2b1451f1f4aa552d434672a4501c3b72f3c345755c267d834b3cf49,5e34e5eb8dc73e35aac8c794c21b20e0,,
source:fragments/1829/08/05-img2911-right,CREATE_FRAGMENT,,fragments/1829/08/05-img2911-right,1829-08-05,2,2,763,ENSURE_MARQUEE_EXISTS,20ec73d8296a29af0417255f0b1b2dccd69f74a63d1259d85d244ab3d09f93d2,d35fcecf76aef205dd61f6bc498e11b8,,
source:fragments/1829/08/08-img2912-right,CREATE_FRAGMENT,,fragments/1829/08/08-img2912-right,1829-08-08,2,2,764,ENSURE_MARQUEE_EXISTS,ed93defc1427c18651296e0b337fddf8ffe7762e953ef26d15ded9f6b988561d,1aec28f5f0f5a9bb075f95572f1eb216,,
source:fragments/1829/08/15-img2914-right,CREATE_FRAGMENT,,fragments/1829/08/15-img2914-right,1829-08-15,2,2,766,ENSURE_MARQUEE_EXISTS,37c465e1a03ab4e5970407f6f3d6b23252c7e0bac3ad09228de76298da1b6c4c,7c33adfac8b4f9cd4c724a71734a598a,,
source:fragments/1829/08/20-img2915-right,CREATE_FRAGMENT,,fragments/1829/08/20-img2915-right,1829-08-20,2,2,767,ENSURE_MARQUEE_EXISTS,8e5bdb381f6f98e37b53b8a60dfee0fedca28f172c335abd272740d67b492b53,e28a4ce950daa7fb72c97e91e830f65c,,
source:fragments/1829/08/22-img2916-right,CREATE_FRAGMENT,,fragments/1829/08/22-img2916-right,1829-08-22,2,2,768,ENSURE_MARQUEE_EXISTS,2293e6316f7ea3a1f1140428229569ef00e0f101d7b26b9f5dacbc0d50b2e8cb,cbdb4459955923c451fafc67985ad684,,
source:fragments/1829/08/28-img2918-right,CREATE_FRAGMENT,,fragments/1829/08/28-img2918-right,1829-08-28,2,2,770,ENSURE_MARQUEE_EXISTS,d06250753065f2f29eca557910b9a4ef6f4123291341504a815059a5e51003bf,70984b68ffe32f90770e95a0dbdb08f0,,
source:fragments/1829/09/11-img2921-right,CREATE_FRAGMENT,,fragments/1829/09/11-img2921-right,1829-09-11,2,2,773,ENSURE_MARQUEE_EXISTS,69a2d76237d8e901b06d498a61d73aec4ab1d4271b1b26dd9805b0a93f8fcd79,c2ec3a590f6cc15e03ef29b6520ee79f,,
source:fragments/1829/09/14-img2922-right,CREATE_FRAGMENT,,fragments/1829/09/14-img2922-right,1829-09-14,2,2,774,ENSURE_MARQUEE_EXISTS,862dc0ed5f9f5a803aaeb53a876ed1c7a074c1c1ddb3c0e0915e4ccb7b264b8a,87a11d01669071ea050ce77e82ba5a0f,,
source:fragments/1829/09/18-img2923-right,CREATE_FRAGMENT,,fragments/1829/09/18-img2923-right,1829-09-18,2,2,775,ENSURE_MARQUEE_EXISTS,e54d7afb54a0577f20e047ac36e09075c51e9d5f2cb2a0cd500d7af5525366c8,a7f284087fdd3c71b2c95a7cb80f30c5,,
source:fragments/1834/07/08-img2712-right,CREATE_FRAGMENT,,fragments/1834/07/08-img2712-right,1834-07-08,2,2,1084,ENSURE_MARQUEE_EXISTS,3587cc33ce31f2174c5bd92860647abf5af652018e8c82d041621fe5999b269d,eb0975d756bdc2e0cc80202aafb99e1b,,
source:fragments/1834/11/13-img2723-right,CREATE_FRAGMENT,,fragments/1834/11/13-img2723-right,1834-11-13,2,2,1095,ENSURE_MARQUEE_EXISTS,0870f77e5f625fd7d2d10b2780f014d8896f56965e30e2a1dda6052a1b968211,7b6cc0f108b890cec2115e7b20151611,,
