"relativePath","fragmentId","inputRow","candidateIndex","status","imageId","matchMethod","sourceSha256"
"diary-1828-and-1829-and-jan-1830/images/img2900-image-room-plan.png","596","25","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","ab415ed14943967866df18f528b35383d6b1919db22c5547d359e273da90083c"
"diary-1828-and-1829-and-jan-1830/images/img2900-image-san_pietroburgo_ermitage_02_palazzo_inverno_jpg_1200_630_cover_85.jpg","600","28","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","7aec1848b75b41a65ea2c741a4064fc0a23b33f8d3c3c99e1ee6c24b582dfaad"
"diary-1828-and-1829-and-jan-1830/images/img2900-image-st-petersburg-map-large.png","595","24","1","AMBIGUOUS_PATH","","UNIQUE_LOCAL_SUFFIX","ce959ee6cedd15f561d8a72de80cad8e3cd08d28762fb949420556c1de51e033"
"diary-1828-and-1829-and-jan-1830/images/img2900-image-st-petersburg-map.png","594","23","1","AMBIGUOUS_PATH","","UNIQUE_LOCAL_SUFFIX","ff19be7c6fd54085b697c404dd26fbf2e6a68ce68e939ee2af339b57d65c6961"
"diary-1828-and-1829-and-jan-1830/images/img2900-image-the-jordan-staircase-state-hermitage-museum-st-petersburg-russia-B2KPFE.jpg","599","27","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","da380260973702272c50582aff0f250bf55eb6517a07a292accb677f1f13d2cb"
"diary-1828-and-1829-and-jan-1830/images/img2900-peter-and-paul-cathedral-st-petersburg.jpg","593","22","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","426a8f59d25ff1a928f49f568e9e7a02e323474271b48190638085e8b9fbf39f"
"diary-1828-and-1829-and-jan-1830/images/img2903-image-alexander-nevsky-monastery-st-petersburg-5.jpg","612","31","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","332673db842be9af1d371d5da0c335ed06486f522e1a268cdf2abdee675c0508"
"diary-1828-and-1829-and-jan-1830/images/img2903-image-main-entrance-to-alexander-nevsky-monastery-in-st-petersburg.jpg","611","30","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","f907638d7860909a745fa51d33afcf56c834d1fa9192b76e2ad88764aa07c27d"
"diary-1828-and-1829-and-jan-1830/images/img2903-image-st-isaac-church.png","606","29","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","161f5efb58947eae3252f222862a24296e1de58719ffc1fc07a6806fb07495fa"
"diary-1828-and-1829-and-jan-1830/images/img2903-image-st-petersberg-alexander-nevsky-lavra-private-tour-528435.jpg","613","32","1","MISSING_FILE_OR_IMAGE","","UNIQUE_LOCAL_SUFFIX","518c7fb10f1f081da56e922e765d5c5b22aa51c3cd3c409a96ffb0851dea9e67"
