"relativePath","imageId","status","kind","size","lastModified","sha256","mimeType","width","height","detail"
"diary-1828-and-1829-and-jan-1830","","DIRECTORY","directory","0","2026-09-13T17:53:23.6840698Z","","","0","0",""
"diary-1828-and-1829-and-jan-1830/Thumbs.db","","UNSUPPORTED","file","19456","2026-08-04T10:20:12.363Z","271a4e6b72a249d2ebcca50b03fac1e1c0fdac6bc44191d47cfe018e829e1259","","0","0",""
"diary-1828-and-1829-and-jan-1830/images","","DIRECTORY","directory","0","2026-09-13T17:53:24.8503361Z","","","0","0",""
"diary-1828-and-1829-and-jan-1830/images/Lucia_Elizabeth_Vestris_by_Robert_William_Buss.jpg","","CREATE_MISSING","file","66232","2026-04-18T09:46:12.0810797Z","7306fd420df902de56be5b61ff448219d2b286ac1ef3abb4cabdbf74aa82d9bb","image/jpeg","451","600",""
"diary-1828-and-1829-and-jan-1830/images/Thumbs.db","","UNSUPPORTED","file","513536","2026-08-04T14:44:15.221Z","08f581b80632e4d3046fec0c163289d4b44c44b413286191282360fafbaafa62","","0","0",""
"diary-1828-and-1829-and-jan-1830/images/bugsbys_reach.jpg","","CREATE_MISSING","file","95227","2026-04-14T19:57:43.5216427Z","64f403ad983210663aaab2d46c4b642a445bca568b9341b33926543e33327ed8","image/jpeg","640","300",""
"diary-1828-and-1829-and-jan-1830/images/img2840-image-map-whitley-park.jpg","","CREATE_MISSING","file","97518","2026-04-14T19:57:43.5822545Z","0ec1199bb262f2c720737a6fcd71549549ea8727784d5b09e3602fcd6d2d69ba","image/jpeg","1060","718",""
"diary-1828-and-1829-and-jan-1830/images/img2841-image-map-commercial-hotel.jpg","","CREATE_MISSING","file","378089","2023-12-31T23:01:06.9469028Z","59ae61501c15ff90c7dcdca936f69e21df79b9e10eb69e6cd292b18ab73b45e3","image/jpeg","1919","1077",""
"diary-1828-and-1829-and-jan-1830/images/img2842-image-broomville-house.jpg","","CREATE_MISSING","file","45891","2026-04-18T09:46:09.3125674Z","f7b2daf4007a56e8aa119b293234c6ee9c0234d2d1c29e5af2119c692e599363","image/jpeg","313","235",""
"diary-1828-and-1829-and-jan-1830/images/img2842-image-clogrennane-house.jpg","","CREATE_MISSING","file","64933","2026-04-18T09:46:09.3493283Z","4acf577d243ce05a2c08d2488259a31c0eeb0acc66aec77617d26f04d202c2ad","image/jpeg","800","489",""
"diary-1828-and-1829-and-jan-1830/images/img2842-image-map-carlow.jpg","","CREATE_MISSING","file","349100","2026-04-18T09:46:09.3932122Z","36ae5f4a7754a442dd7337ed43b5dfd36840da2f144fb4d468611103f9cc5e3c","image/jpeg","1917","1026",""
"diary-1828-and-1829-and-jan-1830/images/img2842-image-map-dublin.jpg","","CREATE_MISSING","file","430776","2026-04-18T09:46:09.610988Z","5bf81f82865c6700942dea91c9117865cdf49273ea0d3c30f455709cae2c222c","image/jpeg","1916","1076",""
"diary-1828-and-1829-and-jan-1830/images/img2842-image-map-tynemouth-to-carlow.jpg","","CREATE_MISSING","file","283417","2026-04-18T09:46:09.6607Z","ad972fda62fde0f7c29684f1608ad99b538d018101b8bf5efb9ea5d7579a7da4","image/jpeg","1494","1078",""
"diary-1828-and-1829-and-jan-1830/images/img2852-image-black-middens.jpg","","CREATE_MISSING","file","222697","2026-04-18T09:46:09.7057987Z","e2b8a8cf5df7f5681acc55f043713d50a25eb080c0da4c57107603a8109c316a","image/jpeg","1694","1071",""
"diary-1828-and-1829-and-jan-1830/images/img2852-image-hope-voyage.jpg","","CREATE_MISSING","file","234230","2026-04-18T09:46:09.7520826Z","0ec31e8bfe5f8366f3580a8e08d9eb37bdd09f52d076936b559dd0028f76c56a","image/jpeg","975","1008",""
"diary-1828-and-1829-and-jan-1830/images/img2855-image-appuldurcombe-house.jpg","","CREATE_MISSING","file","610224","2026-04-18T09:46:09.8181453Z","d9239e70d7f84c9e98caf73660abec0960e47bbd9039e88199955db2fc98346b","image/jpeg","1908","1304",""
"diary-1828-and-1829-and-jan-1830/images/img2855-image-isle-of-wight.jpg","","CREATE_MISSING","file","235096","2026-04-18T09:46:09.8644291Z","594de2ed7619fe911e142b0d528269689a279d5dae5413ff2f9487ac1bb5ddc9","image/jpeg","1338","990",""
"diary-1828-and-1829-and-jan-1830/images/img2855-image-navarino-house-map.png","","CREATE_MISSING","file","755486","2026-08-04T14:44:02.4750696Z","3d3b0c79daa11713ad6b6003c56f18672e9d29cf1ce75fafe2ca7a59ead9564e","image/png","865","849",""
