fragment_id,fragment_version,year,month,day,sequence,inferred_page_id,marquee_id,classification,embedded_image_count,embedded_image_src_values,text_md5,text_preview,reason
"1251","0","1831","3","14","1.0000","893","1197","LEGACY_IMAGE_CANDIDATE","1","images/img2753-white-swan-alnwick.png","bdf78a5b4979428b41c2fb0cadc390b9","<figure> <a href=""https://www.google.co.uk/maps/@55.4128694,-1.7044269,3a,75y,334.22h,84.55t/data=!3m6!1e1!3m4!1sdcOXJpS_PIRZCqIaJUw3sw!2e0!7i13312!8i6656?hl...","fragment HTML contains one or more img elements"
"1253","0","1831","3","15","1.0000","894","1199","LEGACY_IMAGE_CANDIDATE","1","images/img2754-castle-alnwick.png","344252c28909ee65b424a62af568e651","<figure> <a href=""https://www.google.co.uk/maps/@55.4151682,-1.7032641,607m/data=!3m1!1e3?hl=en"" > <img src=""images/img2754-castle-alnwick.png"" width=""600px""...","fragment HTML contains one or more img elements"
"1262","0","1831","3","22","1.0000","894","1208","LEGACY_IMAGE_CANDIDATE","1","images/img2754-the-bull-alnwick.png","69a69b2e992e7bc0213974c90297cafd","<figure> <a href=""https://www.google.co.uk/maps/@55.4110752,-1.7082778,3a,85.6y,200.94h,97.02t/data=!3m6!1e1!3m4!1sEpkBHGOg9bPekbR1GlrjGw!2e0!7i13312!8i6656?...","fragment HTML contains one or more img elements"
"1269","0","1831","3","28","1.0000","895","1215","LEGACY_IMAGE_CANDIDATE","1","images/img2755-bondgate-hall.png","9ac86c38b1b3bff75a854bdd3b6e19d4","<figure> <a href=""https://www.google.co.uk/maps/place/55%C2%B024'40.1%22N+1%C2%B042'08.3%22W/@55.4087487,-1.6988176,234a,35y,321.94h,61.73t/data=!3m1!1e3!4m1...","fragment HTML contains one or more img elements"
"1276","0","1831","4","2","1.0000","895","1222","LEGACY_IMAGE_CANDIDATE","1","images/img2758-charlotte-square-newcastle.png","f6d6b8f48ddd9ad07a8c31ef83211478","<figure> <a href=""https://www.google.co.uk/maps/@54.9712348,-1.6197996,3a,75y,248.87h,99.1t/data=!3m6!1e1!3m4!1sjkW-FSICa3Xaw_UO-Et8nA!2e0!7i16384!8i8192?hl=...","fragment HTML contains one or more img elements"
"1279","0","1831","4","4","1.0000","895","1225","LEGACY_IMAGE_CANDIDATE","1","images/img2758-northumberland-alms-tynemouth.png","caaa53636d30edceb1be963566df4af8","<figure> <a href=""https://www.google.co.uk/maps/@55.0041194,-1.4447524,3a,75y,339.81h,100.97t/data=!3m6!1e1!3m4!1sNXfk0bvCxm_VYD96i4mOOQ!2e0!7i13312!8i6656?h...","fragment HTML contains one or more img elements"
"1288","0","1831","4","12","1.0000","901","1234","LEGACY_IMAGE_CANDIDATE","1","images/img2761-brandon-white-house.png","36e27136da927fe0b5d1139e4b0445ea","<figure> <a href=""https://www.google.co.uk/maps/place/55%C2%B027'18.9%22N+1%C2%B054'44.6%22W/@55.4551396,-1.9123251,383m/data=!3m1!1e3!4m6!3m5!1s0x0:0x0!7e2!...","fragment HTML contains one or more img elements"
"1296","0","1831","4","19","1.0000","902","1242","LEGACY_IMAGE_CANDIDATE","1","images/img2762-north-shields-walk.png","a00d19b3d6cc2261527596633c060152","<figure> <a href=""https://maps.nls.uk/view/index.cfm?id=102346464"" > <img src=""images/img2762-north-shields-walk.png"" width=""600px"" /> <figcaption>img2762-no...","fragment HTML contains one or more img elements"
"1315","0","1831","5","7","1.0000","907","1261","LEGACY_IMAGE_CANDIDATE","1","images/img2767-hms-samarang.jpg","39d30bf1b30604a5bd4345fc63bbcad9","<figure> <a href=""https://en.wikipedia.org/wiki/Sir_William_Martin,_4th_Baronet"" > <img src=""images/img2767-hms-samarang.jpg"" width=""600px"" /> <figcaption>HM...","fragment HTML contains one or more img elements"
"1321","0","1831","5","12","1.0000","909","1267","LEGACY_IMAGE_CANDIDATE","1","images/img2769-archibald-reed.jpg","daa18aee8603d6bdc65885e41f2dc362","<figure> <a href=""http://radicaltyneside.org/events/keelmens-strike-1819-and-shooting-north-shields"" > <img src=""images/img2769-archibald-reed.jpg"" width=""60...","fragment HTML contains one or more img elements"
"1373","0","1831","7","2","1.0000","920","1319","LEGACY_IMAGE_CANDIDATE","1","images/img2780-cross-keys-hull.jpg","ebc44be6262fb74a31a8b74ca8cd5031","<figure> <a href=""https://www.google.co.uk/maps/@53.741044,-0.3337215,3a,75y,64.63h,92.28t/data=!3m6!1e1!3m4!1scLHcGbd_2wPlsjJKGXzqHQ!2e0!7i13312!8i6656?hl=e...","fragment HTML contains one or more img elements"
"1375","0","1831","7","3","1.0000","923","1321","LEGACY_IMAGE_CANDIDATE","1","images/img2783-black-swan-york.png","aca271d7865e379d43e3e45e8b1cc95a","<figure> <a href=""https://www.blackswanyork.com/virtual-tour"" > <img src=""images/img2783-black-swan-york.png"" width=""600px"" /> <figcaption>The Black Swan, Yo...","fragment HTML contains one or more img elements"
"1392","0","1831","7","19","1.0000","927","1338","LEGACY_IMAGE_CANDIDATE","1","images/img2787-croquet-island.jpg","8bfba66ceaef2d30bbd6628c49c032f2","<figure> <a href=""https://www.google.com/maps/@55.3295293,-1.5443157,364a,35y,36.38h,61.83t/data=!3m1!1e3"" > <img src=""images/img2787-croquet-island.jpg"" wid...","fragment HTML contains one or more img elements"
"1397","0","1831","7","23","1.0000","928","1343","LEGACY_IMAGE_CANDIDATE","1","images/img2788-hermitage-warkworth.png","084b75ba0879fa7b78a9dd84ec3cfc66","<figure> <a href=""https://www.google.com/maps/uv?hl=en&pb=!1s0x487e05cb6bf5f07b%3A0x6c6842cffa96624b!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%...","fragment HTML contains one or more img elements"
"1398","0","1831","7","23","2.0000","928","1344","LEGACY_IMAGE_CANDIDATE","1","images/img2788-hermitage-inn-warkworth.png","b7f32bbde5153b600e4841648ae916b8","<figure> <a href=""https://www.google.co.uk/maps/@55.3478179,-1.6119057,3a,75y,8.95h,91.34t/data=!3m6!1e1!3m4!1s95CsW_l0SmZLJy3kVYXurQ!2e0!7i13312!8i6656?hl=e...","fragment HTML contains one or more img elements"
"1416","0","1831","8","17","1.0000","931","1362","LEGACY_IMAGE_CANDIDATE","1","images/img2791-northumberland-house-london.jpg","955486fd26ecfcc06d976cd2df434f92","<figure> <a href=""https://en.wikipedia.org/wiki/Northumberland_House"" > <img src=""images/img2791-northumberland-house-london.jpg"" width=""600px"" /> <figcaptio...","fragment HTML contains one or more img elements"
"1419","0","1831","8","19","1.0000","932","1365","LEGACY_IMAGE_CANDIDATE","1","images/img2792-pier-southampton.jpg","594d6e47ad473365a2667703c019bb35","<figure> <a href=""https://en.wikipedia.org/wiki/Royal_Pier,_Southampton"" > <img src=""images/img2792-pier-southampton.jpg"" width=""600px"" /> <figcaption>Royal ...","fragment HTML contains one or more img elements"
"1420","0","1831","8","19","2.0000","932","1366","LEGACY_IMAGE_CANDIDATE","1","images/img2792-baths-southampton.jpg","9d36fce891c0eda49d803cbf08a8eafa","<figure> <a href=""https://southamptonlocalhistorycentre.files.wordpress.com/2014/11/lhf-journal-19-spring-2012.pdf"" > <img src=""images/img2792-baths-southamp...","fragment HTML contains one or more img elements"
"1438","0","1831","9","4","1.0000","938","1384","LEGACY_IMAGE_CANDIDATE","1","images/img2798-crown-and-septre-london.png","0c7ff4fbece8a22d2ac7886588bf7fcc","<figure> <a href=""https://www.google.co.uk/maps/@51.5191111,-0.1409154,3a,75y,36.87h,100.58t/data=!3m6!1e1!3m4!1sSt-OkhktadIXO3pMUDzlJw!2e0!7i16384!8i8192?hl...","fragment HTML contains one or more img elements"
"1443","0","1831","9","8","1.0000","939","1389","LEGACY_IMAGE_CANDIDATE","1","images/img2799-coronation-william-4th.jpg","0da673e58df77634f7ebad534ae892ec","<figure> <a href=""https://en.wikipedia.org/wiki/Coronation_of_William_IV_and_Adelaide"" > <img src=""images/img2799-coronation-william-4th.jpg"" width=""600px"" /...","fragment HTML contains one or more img elements"
"1460","0","1831","9","22","1.0000","945","1406","LEGACY_IMAGE_CANDIDATE","1","images/img2805-launch-of-hms-thunderer.jpg","6429d8e263aa630484151778f506c6e9","<figure> <a href=""https://www.google.co.uk/maps/@51.4975999,0.0820834,301a,35y,281.35h,78.18t/data=!3m1!1e3?hl=en"" > <img src=""images/img2805-launch-of-hms-t...","fragment HTML contains one or more img elements"
"1461","0","1831","9","22","2.0000","945","1407","LEGACY_IMAGE_CANDIDATE","1","images/img2805-blue-posts-pub.jpg","972b96ca076386d15be2243584283e6e","<figure> <a href=""https://www.google.co.uk/maps/@51.517132,-0.1352775,3a,75y,209.35h,106.25t/data=!3m6!1e1!3m4!1sCciW8XD9OFT7hqAUlA4XKA!2e0!7i16384!8i8192?hl...","fragment HTML contains one or more img elements"
